2015-07-08 21:00:26,156 - logger_manager - INFO - Accuracy: 0.821727019499, Macro_F score: 0.827956989247, Precision: 0.810526315789, Recall: 0.846153846154; Test data size: 359
2015-07-08 21:06:26,529 - logger_manager - INFO - Accuracy: 0.805013927577, Macro_F score: 0.808743169399, Precision: 0.804347826087, Recall: 0.813186813187; Test data size: 359
2015-07-08 21:07:24,628 - logger_manager - INFO - Accuracy: 0.818941504178, Macro_F score: 0.826666666667, Precision: 0.80310880829, Recall: 0.851648351648; Test data size: 359
2015-07-08 21:26:16,614 - logger_manager - INFO - Accuracy: 0.816155988858, Macro_F score: 0.818681318681, Precision: 0.818681318681, Recall: 0.818681318681; Test data size: 359
2015-07-08 21:26:42,444 - logger_manager - INFO - Accuracy: 0.827298050139, Macro_F score: 0.825842696629, Precision: 0.844827586207, Recall: 0.807692307692; Test data size: 359
2015-07-08 21:33:22,253 - logger_manager - INFO - Accuracy: 0.83286908078, Macro_F score: 0.837837837838, Precision: 0.824468085106, Recall: 0.851648351648; Test data size: 359
2015-07-08 21:33:29,214 - logger_manager - INFO - Accuracy: 0.813370473538, Macro_F score: 0.819407008086, Precision: 0.804232804233, Recall: 0.835164835165; Test data size: 359
2015-07-08 21:40:12,750 - logger_manager - INFO - Accuracy: 0.8356545961, Macro_F score: 0.840108401084, Precision: 0.828877005348, Recall: 0.851648351648; Test data size: 359
2015-07-08 21:40:37,629 - logger_manager - INFO - Accuracy: 0.816155988858, Macro_F score: 0.822580645161, Precision: 0.805263157895, Recall: 0.840659340659; Test data size: 359
2015-07-08 21:53:53,099 - logger_manager - INFO - Accuracy: 0.727019498607, Macro_F score: 0.747422680412, Precision: 0.703883495146, Recall: 0.796703296703; Test data size: 359
2015-07-09 19:25:37,773 - logger_manager - INFO - Accuracy: 0.710306406685, Macro_F score: 0.690476190476, Precision: 0.753246753247, Recall: 0.637362637363; Test data size: 359
2015-07-09 19:29:03,534 - logger_manager - INFO - Accuracy: 0.710306406685, Macro_F score: 0.690476190476, Precision: 0.753246753247, Recall: 0.637362637363; Test data size: 359
2015-07-09 19:29:13,341 - logger_manager - INFO - Accuracy: 0.696378830084, Macro_F score: 0.691218130312, Precision: 0.713450292398, Recall: 0.67032967033; Test data size: 359
2015-07-09 19:29:23,842 - logger_manager - INFO - Accuracy: 0.707520891365, Macro_F score: 0.761904761905, Precision: 0.648648648649, Recall: 0.923076923077; Test data size: 359
2015-07-09 19:29:33,288 - logger_manager - INFO - Accuracy: 0.735376044568, Macro_F score: 0.726224783862, Precision: 0.763636363636, Recall: 0.692307692308; Test data size: 359
2015-07-09 19:30:30,081 - logger_manager - INFO - Accuracy: 0.740947075209, Macro_F score: 0.730434782609, Precision: 0.773006134969, Recall: 0.692307692308; Test data size: 359
2015-07-09 19:30:54,671 - logger_manager - INFO - Accuracy: 0.704735376045, Macro_F score: 0.756880733945, Precision: 0.649606299213, Recall: 0.906593406593; Test data size: 359
2015-07-09 19:31:12,159 - logger_manager - INFO - Accuracy: 0.707520891365, Macro_F score: 0.761904761905, Precision: 0.648648648649, Recall: 0.923076923077; Test data size: 359
